描述:,Description:,描述:,描述:,"""""""説明:

翻訳結果のみを返し、説明は一切追加しないでください。原文が空欄または記号のみの場合は、原文をそのまま返してください。""""""","""""""Описание:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, возвращайте исходный текст."""""""
系统提示词:,System prompt words:,系统提示词:,系統提示詞:,システムメッセージ:,Системное сообщение:
用户提示词模板:,User prompt template:,用户提示词模板:,"""""""用戶提示詞模板:

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。""""""","""""""ユーザープロンプトテンプレート:

翻訳結果のみを返し、説明は一切追加しないでください。原文が空または記号のみの場合は原文を返してください。""""""","""""""Шаблон подсказки пользователя:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."""""""
可用变量: {source_language} {target_language} {text},Available variables: {source_language} {target_language} {text},可用变量: {source_language} {target_language} {text},可用變數: {source_language} {target_language} {text},使用可能な変数: {source_language} {target_language} {text},Доступные переменные: {source_language} {target_language} {text}
保存模板,Save Template,保存模板,儲存範本,テンプレートを保存,Сохранить шаблон
重置,Reset,重置,重置,リセット,Сброс
导入,Input,导入,導入,インポート,Импорт
导出,Export,导出,匯出,エクスポート,Экспорт
知识库配置,Knowledge Base Configuration,知识库配置,知識庫配置,ナレッジベース設定,Настройка базы знаний
知识库路径配置,Knowledge Base Path Configuration,知识库路径配置,知識庫路徑配置,ナレッジベースパス設定,Настройка пути к базе знаний
启用知识库功能,Enable Knowledge Base Feature,启用知识库功能,啟用知識庫功能,ナレッジベース機能を有効にする,Включить функцию базы знаний
开启后可以通过本地文档库增强翻译质量（无需增加模型上下文）,"""""""When enabled, translation quality can be improved through the local document library (without increasing model context)""""""",开启后可以通过本地文档库增强翻译质量（无需增加模型上下文）,開啟後可以透過本地文件庫增強翻譯品質（無需增加模型上下文）,有効にすると、ローカルドキュメントライブラリを使用して翻訳品質を向上できます（モデルのコンテキストを増やす必要はありません）,Включение позволяет улучшить качество перевода с помощью локальной библиотеки документов (без увеличения контекста модели)
当前知识库路径:,Current Knowledge Base Path:,当前知识库路径:,當前知識庫路徑:,現在のナレッジベースパス:,Текущий путь базы знаний:
选择新的知识库路径:,Select new knowledge base path:,选择新的知识库路径:,選擇新的知識庫路徑:,新しいナレッジベースのパスを選択:,Выбрать новый путь к базе знаний:
输入新的知识库路径...,Enter new knowledge base path...,输入新的知识库路径...,輸入新的知識庫路徑...,新しいナレッジベースのパスを入力...,Введите новый путь к базе знаний...
浏览...,Browse...,浏览...,瀏覽...,閲覧...,Просмотр...
验证路径,Verify Path,验证路径,驗證路徑,パス検証,Проверить путь
路径状态: 未验证,Path Status: Not Verified,路径状态: 未验证,路徑狀態: 未驗證,パス状態: 未検証,Состояние пути: не проверено
提示: 更改路径时可以选择是否迁移现有数据,"""""""Hint: When changing the path, you can choose whether to migrate existing data""""""",提示: 更改路径时可以选择是否迁移现有数据,提示: 變更路徑時可選擇是否遷移現有資料,ヒント: パスを変更する際、既存データを移行するかどうかを選択できます,Подсказка: При изменении пути можно выбрать перенос существующих данных
迁移现有数据到新路径,Migrate existing data to new path,迁移现有数据到新路径,遷移現有數據到新路徑,既存データを新しいパスに移行,Перенос существующих данных по новому пути
启用自动备份,Enable Auto Backup,启用自动备份,啟用自動備份,自動バックアップを有効にする,Включить автоматическое резервное копирование
高级设置:,Advanced Settings:,高级设置:,進階設定:,詳細設定:,Дополнительные настройки:
缓存大小:,Cache Size:,缓存大小:,快取大小:,キャッシュサイズ:,Размер кэша:
相似度阈值:,Similarity Threshold:,相似度阈值:,相似度閾值:,類似度の閾値:,Порог сходства:
应用更改,Apply Changes,应用更改,套用變更,変更を適用,Применить изменения
重置为默认,Reset to Default,重置为默认,重設為預設,デフォルトにリセット,Сбросить настройки по умолчанию
打开文件夹,Open Folder,打开文件夹,開啟資料夾,フォルダを開く,Открыть папку
目标语言:,Target language:,目标语言:,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

目標語言:

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",対象言語:,"Пожалуйста, предоставьте текст игры на китайском (упрощенном) для перевода на русский язык:

Целевой язык:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
基础文本翻译,Basic text translation,基础文本翻译,基礎文本翻譯,基本テキスト翻訳,Базовый перевод текста
CSV翻译,CSV Translation,CSV翻译,CSV翻譯,CSV翻訳,CSV перевод
Unity多语言文件,Unity Localization File,Unity多语言文件,Unity多語言檔案,Unity多言語ファイル,Файл локализации Unity
百度翻译,Baidu Translate,百度翻译,百度翻譯,百度翻訳,Baidu Переводчик
本地模型,Local Model,本地模型,本地模型,ローカルモデル,Локальная модель
CSV批量翻译模板,CSV Batch Translation Template,CSV批量翻译模板,CSV批次翻譯範本,CSV一括翻訳テンプレート,Шаблон для пакетного перевода CSV
游戏翻译通用模板,Game Translation General Template,游戏翻译通用模板,遊戲翻譯通用模板,ゲーム翻訳汎用テンプレート,Шаблон перевода для игр
游戏剧情翻译模板,Game Story Translation Template,游戏剧情翻译模板,遊戲劇情翻譯模板,ゲームストーリー翻訳テンプレート,Шаблон перевода игрового сюжета
游戏界面翻译模板,Game Interface Translation Template,游戏界面翻译模板,遊戲介面翻譯範本,ゲームインターフェース翻訳テンプレート,Шаблон перевода игрового интерфейса
Unity多语言翻译模板,Unity Multilingual Localization Template,Unity多语言翻译模板,Unity多語言翻譯範本,Unity多言語翻訳テンプレート,Шаблон перевода для многоязычности в Unity
专门用于CSV文件的批量翻译，适合大量短文本,"Bulk translation specifically for CSV files, ideal for large volumes of short texts",专门用于CSV文件的批量翻译，适合大量短文本,專門用於CSV檔案的批次翻譯，適合大量短文字,CSVファイルの一括翻訳に特化、大量の短いテキストに最適,"Специализированный инструмент для пакетного перевода CSV-файлов, идеально подходит для большого количества коротких текстов"
适用于大部分游戏文本翻译,Suitable for most game text translations,适用于大部分游戏文本翻译,適用於大部分遊戲文本翻譯,ほとんどのゲームテキスト翻訳に適用可能,Подходит для перевода большинства игровых текстов
用于游戏剧情、对话、叙述文本,"For game storylines, dialogues, and narrative texts",用于游戏剧情、对话、叙述文本,用於遊戲劇情、對話、敘述文本,ゲームのストーリー、会話、ナレーションテキストに使用,"Используется для сюжета игры, диалогов и повествовательного текста"
专门用于游戏界面元素翻译,Specialized for translating game UI elements,专门用于游戏界面元素翻译,專門用於遊戲介面元素翻譯,ゲームインターフェース要素の翻訳専用,Специально для перевода элементов игрового интерфейса
Unity多语言翻译模板,Unity Multilingual Localization Template,Unity多语言翻译模板,Unity多語言翻譯範本,Unity多言語翻訳テンプレート,Шаблон перевода для многоязычности в Unity
"""""""你是专业的工具本地化翻译专家，正在处理游戏的多语言CSV文件。请注意：
1. 这些文本通常是翻译软件工具的文本
2. 保持翻译的一致性和专业性
3. 适应目标语言的表达习惯
4. 保持语言通俗易懂，和同类工具可比较
5. 特殊符号和格式标记请保持不变
6. 如果是空文本或只有符号，请保持原样""""""","""""""You are a professional localization expert for tool translations, currently working on multilingual CSV files for games. Please note:
1. These texts are typically for translation software tools
2. Maintain consistency and professionalism in translations
3. Adapt to the target language's idiomatic expressions
4. Keep the language clear and comparable to similar tools
5. Preserve special symbols and format markers unchanged
6. If the original text is empty or contains only symbols, keep it as-is""""""","""""""你是专业的工具本地化翻译专家，正在处理游戏的多语言CSV文件。请注意：
1. 这些文本通常是翻译软件工具的文本
2. 保持翻译的一致性和专业性
3. 适应目标语言的表达习惯
4. 保持语言通俗易懂，和同类工具可比较
5. 特殊符号和格式标记请保持不变
6. 如果是空文本或只有符号，请保持原样""""""","""""""你是專業的工具本地化翻譯專家，正在處理遊戲的多語言CSV文件。請注意：
1. 這些文本通常是翻譯軟體工具的文本
2. 保持翻譯的一致性和專業性
3. 適應目標語言的表達習慣
4. 保持語言通俗易懂，和同類工具可比較
5. 特殊符號和格式標記請保持不變
6. 如果是空文本或只有符號，請保持原樣""""""",,
"""""""你是一个专业的游戏本地化翻译专家。请遵循以下原则：
1. 保持游戏术语的一致性和专业性
2. 适应目标语言的表达习惯
3. 保持原文的语气和情感
4. 对于界面文本，保持简洁易懂
5. 对于按键、快捷键等特殊符号保持不变
6. 如果遇到代码、变量名或特殊标记，请保持原样""""""","""""""You are a professional game localization expert. Please follow these principles:
1. Maintain consistency and professionalism in game terminology
2. Adapt to the target language's idiomatic expressions
3. Preserve the original tone and emotion
4. Keep UI text concise and easy to understand
5. Leave special symbols like buttons and shortcuts unchanged
6. Keep code, variable names, or special markers as-is""""""

Return only the translation without any explanations. If the original text is empty or contains only symbols, return it as-is.","""""""你是一个专业的游戏本地化翻译专家。请遵循以下原则：
1. 保持游戏术语的一致性和专业性
2. 适应目标语言的表达习惯
3. 保持原文的语气和情感
4. 对于界面文本，保持简洁易懂
5. 对于按键、快捷键等特殊符号保持不变
6. 如果遇到代码、变量名或特殊标记，请保持原样""""""","""""""你是一個專業的遊戲本地化翻譯專家。請遵循以下原則：
1. 保持遊戲術語的一致性和專業性
2. 適應目標語言的表達習慣
3. 保持原文的語氣和情感
4. 對於介面文本，保持簡潔易懂
5. 對於按鍵、快捷鍵等特殊符號保持不變
6. 如果遇到代碼、變數名或特殊標記，請保持原樣""""""",,"""""""Вы профессиональный эксперт по локализации игр. Пожалуйста, следуйте этим принципам:
1. Сохраняйте единообразие и профессионализм игровой терминологии
2. Адаптируйте под языковые нормы целевого языка
3. Сохраняйте тон и эмоции оригинала
4. Для интерфейсных текстов сохраняйте краткость и понятность
5. Для специальных символов (клавиши, горячие клавиши и т.д.) оставляйте без изменений
6. При встрече кода, имён переменных или специальных маркеров оставляйте как есть"""""""
"""""""你是游戏剧情翻译专家。请遵循：
1. 保持角色性格特点
2. 维持剧情的情感色彩
3. 适应目标语言的叙述方式
4. 保持对话的自然流畅
5. 尊重原作的世界观设定
6. 保持台词的戏剧性和感染力""""""","""""""You are a professional game narrative translator. Please follow these guidelines:
1. Maintain character personalities
2. Preserve the emotional tone of the story
3. Adapt to target language narrative styles
4. Keep dialogue natural and fluent
5. Respect the original world setting
6. Maintain dramatic impact and emotional resonance of lines""""""

Return only the translation without any explanations. If the original text is empty or contains only symbols, return it unchanged.","""""""你是游戏剧情翻译专家。请遵循：
1. 保持角色性格特点
2. 维持剧情的情感色彩
3. 适应目标语言的叙述方式
4. 保持对话的自然流畅
5. 尊重原作的世界观设定
6. 保持台词的戏剧性和感染力""""""","""""""你是遊戲劇情翻譯專家。請遵循：
1. 保持角色性格特點
2. 維持劇情的情感色彩
3. 適應目標語言的敘述方式
4. 保持對話的自然流暢
5. 尊重原作的世界觀設定
6. 保持台詞的戲劇性和感染力""""""",,"Вы эксперт по переводу игровых сюжетов. Следуйте правилам:
1. Сохраняйте характер персонажей
2. Передавайте эмоциональную атмосферу сюжета
3. Адаптируйте под стиль повествования целевого языка
4. Сохраняйте естественность и плавность диалогов
5. Уважайте сеттинг оригинального мира
6. Передавайте драматичность и выразительность реплик"
"""""""你是游戏界面翻译专家。请注意：
1. 界面文本要简洁明了
2. 按钮文字要符合用户习惯
3. 菜单项目要层次清晰
4. 提示信息要准确友好
5. 保持统一的术语表达
6. 考虑界面空间限制，避免过长的翻译""""""","""""""You are a game UI localization expert. Please note:
1. UI text should be concise and clear
2. Button text should follow user conventions
3. Menu items should have clear hierarchy
4. Tooltips should be accurate and friendly
5. Maintain consistent terminology
6. Consider UI space constraints, avoid overly long translations""""""

Return only the translation without any explanations. If the original text is empty or contains only symbols, return it as-is.","""""""你是游戏界面翻译专家。请注意：
1. 界面文本要简洁明了
2. 按钮文字要符合用户习惯
3. 菜单项目要层次清晰
4. 提示信息要准确友好
5. 保持统一的术语表达
6. 考虑界面空间限制，避免过长的翻译""""""","""""""你是遊戲介面翻譯專家。請注意：
1. 介面文字要簡潔明瞭
2. 按鈕文字要符合使用者習慣
3. 選單項目要層次清晰
4. 提示訊息要準確友善
5. 保持統一的術語表達
6. 考慮介面空間限制，避免過長的翻譯""""""","""""""あなたはゲームUI翻訳の専門家です。以下の点に注意してください：
1. インターフェーステキストは簡潔で分かりやすく
2. ボタン表記はユーザーの慣習に沿って
3. メニュー項目は階層が明確に
4. ヒントメッセージは正確で親しみやすく
5. 用語表現の統一を保つ
6. 画面スペース制限を考慮し、長すぎる翻訳は避ける""""""

空欄または記号のみの場合は原文のまま返してください。","""""""Вы эксперт по переводу игровых интерфейсов. Обратите внимание:
1. Текст интерфейса должен быть кратким и понятным
2. Надписи на кнопках должны соответствовать пользовательским привычкам
3. Пункты меню должны иметь четкую структуру
4. Подсказки должны быть точными и дружелюбными
5. Сохраняйте единообразие терминологии
6. Учитывайте ограничения пространства интерфейса, избегайте слишком длинных переводов"""""""
"""""""你是专业的Unity游戏本地化翻译专家，正在处理Unity Localization Package文件。请注意：
1. 这些文本来自Unity游戏的本地化系统
2. 保持翻译的术语一致性，特别是游戏专有名词
3. 适应目标语言的表达习惯和文化背景
4. UI文本要简洁明了，适合界面显示
5. 保持原文的语气和情感色彩
6. 不要翻译变量占位符、特殊标记或代码
7. 考虑字符串长度对UI布局的影响""""""","""""""You are a professional Unity game localization expert working with Unity Localization Package files. Please note:
1. These texts are from Unity game localization systems
2. Maintain terminology consistency, especially for game-specific terms
3. Adapt to target language expressions and cultural context
4. Keep UI texts concise and interface-friendly
5. Preserve the original tone and emotional nuance
6. Do not translate variable placeholders, special markers or code
7. Consider string length impact on UI layout""""""

Return only the translation without any explanations. If the original text is empty or contains only symbols, return it as-is.","""""""你是专业的Unity游戏本地化翻译专家，正在处理Unity Localization Package文件。请注意：
1. 这些文本来自Unity游戏的本地化系统
2. 保持翻译的术语一致性，特别是游戏专有名词
3. 适应目标语言的表达习惯和文化背景
4. UI文本要简洁明了，适合界面显示
5. 保持原文的语气和情感色彩
6. 不要翻译变量占位符、特殊标记或代码
7. 考虑字符串长度对UI布局的影响""""""",,,
CSV文件:,CSV file:,CSV文件:,CSV文件:,CSVファイル:,"Пожалуйста, предоставьте текст игры на китайском (упрощенном) для перевода на русский язык:

CSV файл:

Возвращайте только результат перевода без пояснений. Если исходный текст пуст или содержит только символы, возвращайте исходный текст."
选择文件,Select File,选择文件,選擇檔案,ファイルを選択,Выбрать файл
源语言代码 (如: en):,Source language code (e.g. : en),源语言代码 (如: en):,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

源語言代碼 (如: en): 

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",翻訳結果のみを返します。原文が空または記号のみの場合は原文をそのまま返します。,"Пожалуйста, переведите следующий текст игры с китайского (упрощенного) на русский:

Исходный код языка (например: en):

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
"""""""目标语言代码 (用逗号分隔，如: zh,ja,ru):""""""","""""""Target language codes (comma separated, e.g.: zh,ja,ru):""""""","""""""目标语言代码 (用逗号分隔，如: zh,ja,ru):""""""","""""""目標語言代碼 (用逗號分隔，如: zh,ja,ru):""""""","""""""対象言語コード (カンマ区切りで入力、例: zh,ja,ru):""""""","""""""Коды целевых языков (через запятую, например: zh,ja,ru):"""""""
翻译服务:,Translation service:,翻译服务:,翻譯服務:,翻訳サービス:,Услуги перевода:
翻译模板:,translation template,翻译模板:,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

翻譯模板：

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",,"Пожалуйста, переведите следующий китайский (упрощенный) игровой текст на русский язык:

Шаблон перевода:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
输出文件:,Output file: ,输出文件:,輸出檔案:,出力ファイル:,"Пожалуйста, предоставьте текст игры на китайском (упрощенном) для перевода на русский язык:

Файл вывода:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
请先选择输入文件,Please select an input file first,请先选择输入文件,請先選擇輸入檔案,入力ファイルを選択してください,"Пожалуйста, сначала выберите входной файл"
另存为...,Save As...,另存为...,另存為...,名前を付けて保存...,Сохранить как...
Unity多语言文件:,Unity Multilingual File:,Unity多语言文件:,Unity多語言檔案:,Unity多言語ファイル:,Файл локализации Unity:
支持格式: Unity Localization Package (JSON),Supported formats: Unity Localization Package (JSON),支持格式: Unity Localization Package (JSON),支援格式: Unity Localization Package (JSON),対応フォーマット: Unity Localization Package (JSON),Поддерживаемые форматы: Unity Localization Package (JSON)
源语言代码 (如: en):,Source language code (e.g. : en),源语言代码 (如: en):,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

源語言代碼 (如: en): 

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",翻訳結果のみを返します。原文が空または記号のみの場合は原文をそのまま返します。,"Пожалуйста, переведите следующий текст игры с китайского (упрощенного) на русский:

Исходный код языка (например: en):

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
"""""""目标语言代码 (用逗号分隔，如: zh-CN,ja,ko):""""""","""""""Target language codes (comma separated, e.g.: zh-CN,ja,ko):""""""","""""""目标语言代码 (用逗号分隔，如: zh-CN,ja,ko):""""""","""""""目標語言代碼 (用逗號分隔，如: zh-CN,ja,ko):""""""","""""""対象言語コード (カンマ区切りで入力、例: zh-CN,ja,ko):""""""","""""""Коды целевых языков (через запятую, например: zh-CN,ja,ko):"""""""
翻译服务:,Translation service:,翻译服务:,翻譯服務:,翻訳サービス:,Услуги перевода:
翻译模板:,"translation template
",翻译模板:,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

翻譯模板：

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。","了解しました。以下は翻訳のテンプレートです：

翻訳結果のみを返し、説明は一切追加しません。原文が空欄または記号のみの場合は原文をそのまま返します。","Пожалуйста, переведите следующий китайский (упрощенный) игровой текст на русский язык:

Шаблон перевода:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
输出文件:,Output file: ,输出文件:,輸出檔案:,出力ファイル:,"Пожалуйста, предоставьте текст игры на китайском (упрощенном) для перевода на русский язык:

Файл вывода:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
请先选择输入文件,Please select an input file first,请先选择输入文件,請先選擇輸入檔案,入力ファイルを選択してください,"Пожалуйста, сначала выберите входной файл"
